year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2013,2,2014,0.9678366921443575,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9699236308312992,0.9784344563962776
2014,2,2015,0.9667916080236678,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.975911149853604,0.9773049234386604
2015,2,2016,0.9712248932043125,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9783764844440987,0.979229158547546
2016,2,2017,0.9701989379717085,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9758787697125184,0.9783563390019006
2013,3,2014,0.9601553164916277,H.02,H.02 Human Cognition and Behavior,734,0.9753926720908679,0.9796477002348596
2014,3,2015,0.9638207524114215,H.02,H.02 Human Cognition and Behavior,734,0.976654734470106,0.9797918096848974
2015,3,2016,0.9596121957805146,H.02,H.02 Human Cognition and Behavior,734,0.9781702368763752,0.9782907399144416
2016,3,2017,0.9619123405935301,H.02,H.02 Human Cognition and Behavior,734,0.9773440792443784,0.9776279612416308
2013,4,2014,0.9642634558094069,H.01,H.01 Animal Cognition and Behavior,905,0.9775282784205759,0.9788474195438546
2014,4,2015,0.9644437647473346,H.01,H.01 Animal Cognition and Behavior,905,0.9779900924154341,0.9781011279186012
2015,4,2016,0.9681277386571611,H.01,H.01 Animal Cognition and Behavior,905,0.9768617058962651,0.9770247756973004
2016,4,2017,0.9666287806328453,H.01,H.01 Animal Cognition and Behavior,905,0.9774360542622668,0.9786270833497234
2013,6,2014,0.9223020027640815,C.07,C.07 Ischemia,107,0.955898439023046,0.9746217710769124
2014,6,2015,0.9301647290016267,C.07,C.07 Ischemia,107,0.9745071015602562,0.9785404399121994
2015,6,2016,0.9342674859321853,C.07,C.07 Ischemia,107,0.9673716418872158,0.9769396597169492
2016,6,2017,0.928437299076969,C.07,C.07 Ischemia,107,0.9716647358090402,0.977551217787086
2013,7,2014,0.9085617184547873,C.08,C.08 Stroke,140,0.963033862868937,0.9733668762219568
2014,7,2015,0.8825748761277507,C.08,C.08 Stroke,140,0.9775897704721987,0.9789676658703768
2015,7,2016,0.8931912452922645,C.08,C.08 Stroke,140,0.9669208061621078,0.975261294683348
2016,7,2017,0.8985153098681208,C.08,C.08 Stroke,140,0.9771898721186064,0.9773271587074432
2013,8,2014,0.8812233333896207,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.9768132593988196,0.9772506808113056
2014,8,2015,0.8730922207493921,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.9711819108096368,0.9790831337172738
2015,8,2016,0.8809727972534667,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.9708783140441192,0.9735589124597012
2016,8,2017,0.875948533091809,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.969923912846306,0.9760122476504064
2013,9,2014,0.9089998533549043,C.09,C.09 Brain Injury and Trauma,395,0.9796477002348596,0.9804014227108931
2014,9,2015,0.9166474553201567,C.09,C.09 Brain Injury and Trauma,395,0.9744006364202328,0.9784927499158432
2015,9,2016,0.9219810601875799,C.09,C.09 Brain Injury and Trauma,395,0.9768131764543196,0.9790937115369364
2016,9,2017,0.9203164456136456,C.09,C.09 Brain Injury and Trauma,395,0.9786891258580356,0.9786953702918864
