year,topic,year_next,d_lang,topic_desc,topic_description,n_papers,d_field,d_nearest_neighbor
2013,2,2014,0.9678366921443575,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9722722252401927,0.9723527009114544
2014,2,2015,0.9667916080236678,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9549735549470882,0.9653078212129091
2015,2,2016,0.9712248932043125,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.9738059125405062,0.9744134069131124
2016,2,2017,0.9701989379717085,C.06,"C.06 Neurotoxicity, Inflammation, and Neuroprotection",374,0.968984406281776,0.9721433374272964
2013,3,2014,0.9601553164916277,H.02,H.02 Human Cognition and Behavior,734,0.9658303792263742,0.9661864764322786
2014,3,2015,0.9638207524114215,H.02,H.02 Human Cognition and Behavior,734,0.96065351767065,0.961893171223868
2015,3,2016,0.9596121957805146,H.02,H.02 Human Cognition and Behavior,734,0.9625991305948642,0.9643353660833458
2016,3,2017,0.9619123405935301,H.02,H.02 Human Cognition and Behavior,734,0.9606551555351719,0.9619220357681294
2013,4,2014,0.9642634558094069,H.01,H.01 Animal Cognition and Behavior,905,0.968921433195946,0.9730051245336954
2014,4,2015,0.9644437647473346,H.01,H.01 Animal Cognition and Behavior,905,0.9549013739029426,0.9714094486620762
2015,4,2016,0.9681277386571611,H.01,H.01 Animal Cognition and Behavior,905,0.9493325162669564,0.971624700994196
2016,4,2017,0.9666287806328453,H.01,H.01 Animal Cognition and Behavior,905,0.9629764680402618,0.97525581994146
2013,6,2014,0.9223020027640815,C.07,C.07 Ischemia,107,0.912311877023254,0.9409610634725816
2014,6,2015,0.9301647290016267,C.07,C.07 Ischemia,107,0.9368185069411444,0.937533504375848
2015,6,2016,0.9342674859321853,C.07,C.07 Ischemia,107,0.9302661792123808,0.9444480799453746
2016,6,2017,0.928437299076969,C.07,C.07 Ischemia,107,0.932994886163974,0.9401007809224822
2013,7,2014,0.9085617184547873,C.08,C.08 Stroke,140,0.9042544359633262,0.9409610634725816
2014,7,2015,0.8825748761277507,C.08,C.08 Stroke,140,0.8693443490636474,0.937533504375848
2015,7,2016,0.8931912452922645,C.08,C.08 Stroke,140,0.8651337679735444,0.9302661792123808
2016,7,2017,0.8985153098681208,C.08,C.08 Stroke,140,0.8814486867606424,0.9401007809224822
2013,8,2014,0.8812233333896207,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.8978989069013344,0.9247596961420428
2014,8,2015,0.8730922207493921,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.8637638859580962,0.9299184458033972
2015,8,2016,0.8809727972534667,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.8871968041327165,0.9292542646710537
2016,8,2017,0.875948533091809,E.09,E.09 Spinal Cord Injury and Plasticity,103,0.8746142186470697,0.9279718345348476
2013,9,2014,0.9089998533549043,C.09,C.09 Brain Injury and Trauma,395,0.92347436951883,0.9247596961420428
2014,9,2015,0.9166474553201567,C.09,C.09 Brain Injury and Trauma,395,0.9066691520728802,0.9299184458033972
2015,9,2016,0.9219810601875799,C.09,C.09 Brain Injury and Trauma,395,0.9181438046499728,0.9292542646710537
2016,9,2017,0.9203164456136456,C.09,C.09 Brain Injury and Trauma,395,0.9279718345348476,0.9321992795733278
2013,10,2014,0.906153616701793,A.04,A.04 Transplantation and Regeneration,53,0.9010185015941676,0.9476232668458228
2014,10,2015,0.9122552696807481,A.04,A.04 Transplantation and Regeneration,53,0.8859141801793569,0.9449903288261652
