topic,year,d_lang,n_papers
2,2014,0.9688700202039326,296
2,2015,0.9705187912899768,316
2,2016,0.9699695099351571,432
2,2017,0.9688768131991894,374
3,2014,0.9590953363538084,1086
3,2015,0.9608732485148971,1102
3,2016,0.9609105879015897,966
3,2017,0.9590138333768196,734
4,2014,0.9690038128560637,1196
4,2015,0.9649899194447961,1220
4,2016,0.9645966463046474,1029
4,2017,0.9635059318028767,905
6,2014,0.92572381889571,259
6,2015,0.9317825450459248,209
6,2016,0.9311362417964327,159
6,2017,0.9295277005409289,107
7,2014,0.908051089918155,82
7,2015,0.8872065203793313,68
7,2016,0.8895108550021871,172
7,2017,0.9037769683106458,140
8,2014,0.8824722031657777,153
8,2015,0.8707404021433098,120
8,2016,0.8819527346049104,131
8,2017,0.8800991036134098,103
9,2014,0.9068121545760398,354
9,2015,0.9118141108028852,343
9,2016,0.9249996967439154,414
9,2017,0.9184251402342771,395
10,2014,0.9013900553296286,88
10,2015,0.9123742091952093,79
10,2016,0.9156160736218555,88
13,2014,0.8890340560488322,119
13,2015,0.8986799454807907,116
13,2016,0.8994152123093402,131
13,2017,0.9012782446283938,128
14,2014,0.9204627878187533,430
14,2015,0.9146223287838284,475
14,2016,0.9092148696308274,435
14,2017,0.9078514566380682,432
17,2014,0.9080538387677818,254
17,2015,0.9037299558698957,234
17,2016,0.9056452709703444,225
17,2017,0.9045071970764034,229
18,2014,0.9526111615209469,189
18,2015,0.9466321853541455,160
18,2016,0.9450881344513524,166
18,2017,0.9463583682040305,128
19,2014,0.9673116790561831,94
19,2015,0.9689294709848408,76
19,2016,0.971973816508966,62
20,2014,0.9796794187005522,119
20,2015,0.9719226782893299,122
20,2016,0.9707305994048923,104
20,2017,0.9752950503673621,81
21,2014,0.9463392026687327,76
21,2015,0.9503756117797231,85
21,2016,0.9516386768851521,102
21,2017,0.9500782050974536,96
23,2014,0.9630435146782385,143
23,2015,0.9582383714172993,129
23,2016,0.9590496920184366,119
23,2017,0.9568740453390695,131
24,2015,0.936999401021263,73
24,2016,0.9369636509088197,67
24,2017,0.9435788520639676,87
25,2014,0.9277531883075877,78
26,2014,0.9342487110928086,130
26,2015,0.9347011990907264,116
26,2016,0.9288603296046606,99
26,2017,0.9357468094423573,101
27,2014,0.9566701338029746,344
27,2015,0.9525999177442245,348
27,2016,0.9520690421035307,372
27,2017,0.9533757816360894,382
28,2014,0.9493418143865943,320
28,2015,0.9471272515253071,237
28,2016,0.9381995106374054,157
28,2017,0.9370385520022899,140
29,2014,0.9438125236374263,182
29,2015,0.9406057296602516,144
29,2016,0.9424527023559595,147
29,2017,0.9398081655896297,139
30,2014,0.9501108298271824,109
30,2015,0.9521135632361499,98
30,2016,0.9522074502141656,104
30,2017,0.9549375179082382,80
31,2014,0.9465329303379424,326
31,2015,0.9511207680286762,294
31,2016,0.9427619727391694,223
31,2017,0.9344083153138173,183
32,2014,0.8975466127561077,234
32,2015,0.9066602098057872,255
32,2016,0.9107643615265183,272
32,2017,0.9099988698350027,298
37,2014,0.9567709518870879,460
